colour	y	x	showSelected	PANEL	fill
#00BFC4	0.341558441558442	0.400757575757576	2014_06_02	4	#00BFC4
#C77CFF	NA	0.396666666666667	2014_06_02	4	#C77CFF
#C77CFF	0.106233766233766	0.435	2014_06_02	4	#C77CFF
#00BFC4	0.351818181818182	0.567575757575758	2014_05_28	4	#00BFC4
#F8766D	0.232987012987013	0.48	2014_05_28	4	#F8766D
#00BFC4	0.524285714285714	0.547878787878788	2014_06_02	4	#00BFC4
#00BFC4	0.355714285714286	0.453333333333333	2014_06_02	4	#00BFC4
#00BFC4	0.46012987012987	0.350909090909091	2014_06_02	4	#00BFC4
#00BFC4	0.28961038961039	0.556515151515152	2014_05_28	4	#00BFC4
#7CAE00	0.244285714285714	0.575151515151515	2014_05_28	4	#7CAE00
#C77CFF	0.194415584415584	0.31030303030303	2014_05_28	4	#C77CFF
#C77CFF	0.285714285714286	0.47469696969697	2014_05_28	4	#C77CFF
#00BFC4	0.304805194805195	0.437878787878788	2014_05_28	4	#00BFC4
#7CAE00	0.467662337662338	0.58530303030303	2014_05_28	4	#7CAE00
#C77CFF	0.174415584415584	0.626969696969697	2014_05_28	4	#C77CFF
#C77CFF	0.158441558441558	0.377878787878788	2014_05_28	4	#C77CFF
#00BFC4	0.451168831168831	0.495	2014_05_28	4	#00BFC4
#00BFC4	0.281688311688312	0.421515151515152	2014_05_28	4	#00BFC4
#C77CFF	0.185974025974026	0.377575757575758	2014_05_28	4	#C77CFF
#C77CFF	0.325584415584416	0.435757575757576	2014_05_28	4	#C77CFF
#7CAE00	NA	0.398636363636364	2014_05_28	4	#7CAE00
#C77CFF	0.121038961038961	0.338939393939394	2014_05_28	4	#C77CFF
#7CAE00	0.467142857142857	0.397272727272727	2014_05_28	4	#7CAE00
#00BFC4	0.448051948051948	0.449848484848485	2014_06_02	4	#00BFC4
#7CAE00	0.282467532467532	0.611818181818182	2014_06_02	4	#7CAE00
#00BFC4	0.431168831168831	0.317272727272727	2014_05_28	4	#00BFC4
#00BFC4	0.401298701298701	0.458484848484848	2014_05_28	4	#00BFC4
#00BFC4	0.466363636363636	0.455909090909091	2014_05_28	4	#00BFC4
#C77CFF	0.35974025974026	0.397727272727273	2014_05_28	4	#C77CFF
#C77CFF	0.491948051948052	0.65969696969697	2014_05_28	4	#C77CFF
#00BFC4	0.31012987012987	0.615151515151515	2014_05_28	4	#00BFC4
#00BFC4	0.382337662337662	0.69469696969697	2014_05_28	4	#00BFC4
#C77CFF	0.325974025974026	0.456212121212121	2014_05_28	4	#C77CFF
#00BFC4	0.414155844155844	0.524393939393939	2014_05_28	4	#00BFC4
#C77CFF	0.26025974025974	0.545	2014_05_28	4	#C77CFF
#C77CFF	0.296623376623377	0.670454545454545	2014_05_28	4	#C77CFF
#00BFC4	0.318311688311688	0.24969696969697	2014_06_02	4	#00BFC4
#00BFC4	0.361038961038961	0.358939393939394	2014_06_02	4	#00BFC4
#00BFC4	0.408311688311688	0.455	2014_06_02	4	#00BFC4
#7CAE00	0.481298701298701	0.413939393939394	2014_06_02	4	#7CAE00
#00BFC4	0.408961038961039	0.583939393939394	2014_06_02	4	#00BFC4
#00BFC4	0.238311688311688	0.423030303030303	2014_06_02	4	#00BFC4
#00BFC4	0.445194805194805	0.454393939393939	2014_06_02	4	#00BFC4
#7CAE00	0.244545454545455	0.478636363636364	2014_06_02	4	#7CAE00
#00BFC4	0.172207792207792	0.43469696969697	2014_05_28	4	#00BFC4
#C77CFF	0.51961038961039	0.478939393939394	2014_05_28	4	#C77CFF
#00BFC4	0.256883116883117	0.371818181818182	2014_05_28	4	#00BFC4
#C77CFF	0.128181818181818	0.41030303030303	2014_05_28	4	#C77CFF
#C77CFF	0.246103896103896	0.468636363636364	2014_05_28	4	#C77CFF
#C77CFF	0.0857142857142857	0.386060606060606	2014_05_28	4	#C77CFF
#00BFC4	0.391168831168831	0.351969696969697	2014_06_02	4	#00BFC4
#7CAE00	0.358181818181818	0.555606060606061	2014_06_02	4	#7CAE00
#C77CFF	0.591948051948052	0.663636363636364	2014_06_02	4	#C77CFF
#00BFC4	0.390649350649351	0.528787878787879	2014_06_02	4	#00BFC4
#C77CFF	0.102727272727273	0.528484848484849	2014_05_28	4	#C77CFF
#C77CFF	0.0932467532467533	0.481818181818182	2014_05_28	4	#C77CFF
#00BFC4	0.506753246753247	0.466666666666667	2014_05_28	4	#00BFC4
